category,function,direction,dbc_bus,dbc_id_hex,dbc_name,dbc_signals,log_marker,observed_channel,observed_bitrate,observed_id_hex,observed_dlc,observed_signal_or_byte,off_value,on_value,confidence,status,implementation_type,implementation_note
media,handsfree_phone,adapter_to_car,M-CAN,0x485,TP_HU_CLU_HF,Byte0_TCP_and_Data,phone_call_test,,,,,,,,0.0,dbc_candidate,usb_to_can,
media,android_auto_text,adapter_to_car,M-CAN,0x4F4,TP_HU_ANDAUTO_CLU,Byte0_TCP_and_Data,source_android_auto,,,,,,,,0.0,dbc_candidate,usb_to_can,do not confuse with C-CAN 0x4F4 SPAS12
media,carplay_text,adapter_to_car,M-CAN,0x4F2,TP_HU_CARPLAY_CLU,Byte0_TCP_and_Data,source_carplay,,,,,,,,0.0,dbc_candidate,usb_to_can,
navigation,tbt_status,adapter_to_car,M-CAN,0x115,HU_CLU_PE_02,"TBT_Display_Type; TBT_Direction; TBT_Distance_Turn_Point; TBT_Bar_Graph_Level",nav_tbt_maneuvers,,,,,,,,0.0,dbc_candidate,usb_to_can,
navigation,tbt_text_transport,adapter_to_car,M-CAN,0x4BB,TP_HU_TBT_CLU,Byte0_TCP_and_Data,nav_tbt_text,,,,,,,,0.0,dbc_candidate,usb_to_can,
navigation,navi_text_transport,adapter_to_car,M-CAN,0x49B,TP_HU_NAVI_CLU,Byte0_TCP_and_Data,nav_street_text,,,,,,,,0.0,dbc_candidate,usb_to_can,
navigation,distance_eta,adapter_to_car,M-CAN,0x1E6,HU_CLU_PE_12,"Navi_DistToDest_I; Navi_DistToDest_F; Navi_DistToDest_U; Navi_EstimHour; Navi_EstimMin; Navi_Compass",nav_distance_eta,,,,,,,,0.0,dbc_candidate,usb_to_can,
navigation,next_maneuver_points,adapter_to_car,M-CAN,0x1E7,HU_CLU_PE_13,"Navi_DistToPoint1; Navi_DistToPoint2; Navi_DistToPoint3",nav_next_points,,,,,,,,0.0,dbc_candidate,usb_to_can,
navigation,speed_limit,adapter_to_car,M-CAN,0x1E5,HU_CLU_PE_11,Navi_SpdLimit,nav_speed_limit,,,,,,,,0.0,disabled,blocked,can trigger errors on trims without feature
amp,main_amp_settings,adapter_to_car,M-CAN,0x00F,HU_AMP_E_08,"AMP_MainVolumeSet; AMP_BalanceSet; AMP_FadeSet; AMP_BassSet; AMP_MidSet; AMP_TrebleSet",amp_settings_test,,,,,,,,0.0,dbc_candidate,usb_to_can,
amp,amp_state_from_amp,car_to_adapter,M-CAN,0x183,AMP_HU_PE_03,"AMP_MainVolumeSetting; AMP_BalanceSetting; AMP_FadeSetting; AMP_BassSetting; AMP_MidSetting; AMP_TrebleSetting",amp_state_read,,,,,,,,0.0,dbc_candidate,read_only,
climate,hu_driver_temp_up_down,adapter_to_car,M-CAN,0x034,HU_DATC_E_02,HU_DATC_DrTempUpDn,climate_driver_temp_steps,,,,,,,,0.0,dbc_candidate,usb_to_can,
climate,hu_passenger_temp_up_down,adapter_to_car,M-CAN,0x034,HU_DATC_E_02,HU_DATC_PsTempUpDn,climate_passenger_temp_steps,,,,,,,,0.0,dbc_candidate,usb_to_can,
climate,hu_main_blower,adapter_to_car,M-CAN,0x034,HU_DATC_E_02,HU_DATC_MainBlower,climate_main_blower_steps,,,,,,,,0.0,dbc_candidate,usb_to_can,
climate,hu_front_mode,adapter_to_car,M-CAN,0x034,HU_DATC_E_02,HU_DATC_FrontModeSet,climate_front_mode_steps,,,,,,,,0.0,dbc_candidate,usb_to_can,
climate,hu_auto,adapter_to_car,M-CAN,0x034,HU_DATC_E_02,HU_DATC_AutoSet,climate_auto_on_off,,,,,,,,0.0,dbc_candidate,usb_to_can,
climate,hu_off,adapter_to_car,M-CAN,0x034,HU_DATC_E_02,HU_DATC_OffReq,climate_off_on,,,,,,,,0.0,dbc_candidate,usb_to_can,
climate,hu_intake_recirc,adapter_to_car,M-CAN,0x034,HU_DATC_E_02,HU_DATC_IntakeSet,climate_intake_recirc,,,,,,,,0.0,dbc_candidate,usb_to_can,
climate,hu_ac,adapter_to_car,M-CAN,0x034,HU_DATC_E_02,HU_DATC_AcSet,climate_ac_on_off,,,,,,,,0.0,dbc_candidate,usb_to_can,
climate,hu_aqs,adapter_to_car,M-CAN,0x034,HU_DATC_E_02,HU_DATC_AqsSet,climate_aqs_on_off,,,,,,,,0.0,dbc_candidate,usb_to_can,
climate,hu_front_defog,adapter_to_car,M-CAN,0x034,HU_DATC_E_02,HU_DATC_FrontDefog,climate_front_defog,,,,,,,,0.0,dbc_candidate,usb_to_can,
climate,hu_rear_defog,adapter_to_car,M-CAN,0x034,HU_DATC_E_02,HU_DATC_RearDefog,climate_rear_defog,,,,,,,,0.0,dbc_candidate,usb_to_can,
climate,hu_zone_sync,adapter_to_car,M-CAN,0x034,HU_DATC_E_02,HU_DATC_ZoneControl,climate_zone_sync,,,,,,,,0.0,dbc_candidate,usb_to_can,
climate,datc_temp_display,car_to_adapter,M-CAN,0x131,DATC_PE_02,"DATC_DrTempDispC; DATC_PsTempDispC; DATC_DrTempDispF; DATC_PsTempDispF",climate_temp_display,,,,,,,,0.0,dbc_candidate,read_only,
climate,datc_mode_display,car_to_adapter,M-CAN,0x132,DATC_PE_03,"DATC_ModeDisp; DATC_AutoDisp; DATC_IntakeDisp; DATC_AcDisp; DATC_DualDisp; DATC_OffDisp; DATC_MainBlowerDisp",climate_display_states,,,,,,,,0.0,dbc_candidate,read_only,
climate,datc_seat_heat_vent,car_to_adapter,M-CAN,0x134,DATC_PE_05,"DATC_DrSeatWarmerDisp; DATC_PsSeatWarmerDisp; DATC_DrVentSeatDisp; DATC_PSVentSeatDisp",climate_seat_heat_vent,,,,,,,,0.0,dbc_candidate,read_only,
climate,datc_ccan_display,car_to_adapter,C-CAN,0x043,DATC13,"CF_Datc_ModDisp; CF_Datc_IntakeDisp; CF_Datc_AutoDisp; CF_Datc_AcDisp; CF_Datc_DualDisp; CF_Datc_FrontBlwDisp",climate_display_states,,,,,,,,0.0,dbc_candidate,read_only,
climate,datc_ccan_temp,car_to_adapter,C-CAN,0x042,DATC12,"CR_Datc_DrTempDispC; CR_Datc_PsTempDispC",climate_temp_display,,,,,,,,0.0,dbc_candidate,read_only,
parking,pas_display,car_to_adapter,C-CAN,0x436,PAS11,"CF_Gway_PASDisplayFLH; CF_Gway_PASDisplayFRH; CF_Gway_PASDisplayFCTR; CF_Gway_PASDisplayRCTR; CF_Gway_PASDisplayRLH; CF_Gway_PASDisplayRRH; PASRsound; PASFsound",parking_sensor_near_far,,,,,,,,0.2,seen_in_log,mirror_to_hu,
parking,spas_status,car_to_adapter,C-CAN,0x390,SPAS11,"CF_Spas_Stat; CR_Spas_StrAngCmd; CF_Spas_BeepAlarm; CF_Spas_PasVol",spas_reverse_steering,,,,,,,,0.2,seen_in_log,mirror_to_hu,
parking,spas_display_zones,car_to_adapter,C-CAN,0x4F4,SPAS12,"CF_Spas_FIL_Ind; CF_Spas_FIR_Ind; CF_Spas_RIL_Ind; CF_Spas_RIR_Ind; CF_Spas_BEEP_Alarm",parking_sensor_zones,,,,,,,,0.2,seen_in_log,mirror_to_hu,do not confuse with M-CAN 0x4F4 Android Auto
safety,rcta_left_right,car_to_adapter,C-CAN,0x58B,LCA11,"CF_Rcta_Stat; CF_RCTA_IndLeft; CF_RCTA_IndRight; CF_RCTA_IndBriLeft; CF_RCTA_IndBriRight",rcta_left_right,,,,,,,,0.2,seen_in_log,mirror_to_hu,
safety,blind_spot_lca,car_to_adapter,C-CAN,0x58B,LCA11,"CF_Lca_Stat; CF_Lca_IndLeft; CF_Lca_IndRight; CF_Lca_IndBriLeft; CF_Lca_IndBriRight",lca_left_right,,,,,,,,0.2,seen_in_log,mirror_to_hu,
safety,rear_collision_warning,car_to_adapter,C-CAN,0x58B,LCA11,"CF_Rcw_Stat; CF_RCW_Warning",rcw_warning,,,,,,,,0.0,dbc_candidate,mirror_to_hu,
safety,lka_warning,car_to_adapter,C-CAN,0x340,LKAS11,"CF_Lkas_SysWarning; CF_Lkas_HbaLamp",lkas_passive_read,,,,,,,,0.0,dbc_candidate,read_only,
safety,tpms_warning,car_to_adapter,C-CAN,0x593,TPMS11,"TPMS_W_LAMP; POS_FL_W_LAMP; POS_FR_W_LAMP; POS_RL_W_LAMP; POS_RR_W_LAMP",tpms_baseline_request,,,,,,,,0.0,dbc_candidate,read_only,
safety,abs_tcs_esp_lamps,car_to_adapter,C-CAN,0x507,TCS15,"ABS_W_LAMP; TCS_OFF_LAMP; TCS_LAMP; EBD_W_LAMP; AVH_LAMP",passive_safety_lamps,,,,,,,,0.0,dbc_candidate,read_only,
